Source_Name,CLASS1,DEJ2000,Energy_Flux100,Flux1000,GLAT,GLON,LP_Flux_Density,LP_Index,LP_beta,PLEC_Exp_Index,PLEC_Expfactor,PLEC_Flux_Density,PLEC_Index,PL_Flux_Density,PL_Index,Peak_Interval,Pivot_Energy,RAJ2000,SpectrumType,Energy_Flux100_LP,LP_F1000,LP_F10000
4FGL J0120.4-2701 ,bll  ,-27.0229,3.405349e-11,3.452381e-09,-83.53282,213.65465,2.524968e-12,1.8161957,0.052144628,0.6666667,0.000750921,2.451304e-12,1.7614393,2.3827017e-12,1.9086518,31332582.0,1130.3075,20.1227,LogParabola      ,3.4058220954374285e-11,3.4522683872151234e-09,3.3205560577358267e-10
4FGL J0121.7+5153 ,bcu  ,51.8947,1.6095331e-12,1.210489e-10,-10.697121,127.68354,2.0842086e-15,1.6834897,0.12606148,0.6666667,0.00074479857,1.965302e-15,1.3274858,1.6085767e-15,1.7184392,31560000.0,10418.668,20.4389,PowerLaw         ,1.5268945827102458e-12,1.1514021357560477e-10,2.461187235883769e-11
4FGL J0121.8-3916 ,bcu  ,-39.2682,2.6820818e-12,2.3130564e-10,-76.304276,277.26886,2.8402084e-14,1.8208532,0.084076725,0.6666667,0.0009140313,2.7365854e-14,1.6474003,2.4698854e-14,1.8974571,31560000.0,3096.7776,20.4704,PowerLaw         ,2.365018402455409e-12,2.4595554272199935e-10,2.5989367997353306e-11
4FGL J0122.1-3004 ,bcu  ,-30.0697,7.7131406e-13,4.7990185e-11,-82.653915,238.33247,5.168862e-16,1.4636081,0.054438356,0.6666667,0.0019907567,6.113477e-16,0.0025242085,4.7747274e-16,1.553309,31560000.0,14004.873,20.5293,PowerLaw         ,7.572609154462436e-13,4.0819405816508386e-11,1.4077879036691864e-11
4FGL J0123.1+3421 ,bll  ,34.3538,3.0441626e-12,2.2404874e-10,-28.06065,130.34883,6.7052687e-15,1.6558444,0.027618587,0.6666667,0.00031192924,6.824215e-15,1.5186038,6.365542e-15,1.6971,31560000.0,6752.18,20.7906,PowerLaw         ,2.9908667066066325e-12,2.2020789620993803e-10,4.5840133487136905e-11
4FGL J0123.7-2311 ,bll  ,-23.1941,6.3009723e-12,5.3349075e-10,-81.700134,186.41393,5.922858e-14,1.8391187,0.024021206,0.6666667,0.00017126903,5.8091864e-14,1.8071079,5.6619633e-14,1.8648756,31560000.0,3111.0984,20.9377,PowerLaw         ,6.080332575387467e-12,5.449873454340791e-10,7.037493481364371e-11
4FGL J0124.8-0625 ,bll  ,-6.4328,2.8720435e-12,2.4918956e-10,-67.83154,145.4401,1.2656011e-13,2.1886997,0.061237916,0.6666667,0.00275848,1.3180872e-13,1.878868,1.1687373e-13,2.2143812,31332582.0,1539.0897,21.2178,PowerLaw         ,2.54274111895505e-12,2.6135703639982073e-10,1.1360529189247549e-11
4FGL J0125.3-2548 ,bll  ,-25.8074,5.898543e-12,5.0944543e-10,-82.289444,204.98271,4.7273253e-13,2.143906,0.08359417,0.6666667,0.0030071905,4.7627364e-13,1.8458091,4.2976587e-13,2.2236876,31560000.0,1183.8295,21.3474,PowerLaw         ,5.05199864566388e-12,5.459752327009475e-10,2.082695495259794e-11
4FGL J0125.4+3200 ,bcu  ,32.0086,3.3050862e-12,9.038561e-11,-30.31063,131.28587,1.4872359e-11,3.084538,-0.0134569425,0.6666667,-6.2702646e-05,1.5072252e-11,3.0756412,1.5047734e-11,3.072735,31560000.0,239.87654,21.3656,PowerLaw         ,3.3014981723149242e-12,9.205172292466851e-11,9.170693093046349e-13
4FGL J0125.7-0015 ,fsrq ,-0.2658,3.999893e-12,1.3344818e-10,-61.9042,141.37395,9.0727e-12,2.9162812,0.08324323,0.6666667,0.0046707196,8.8641065e-12,2.7454965,8.362462e-12,2.9635518,31560000.0,310.75876,21.4275,PowerLaw         ,4.002688427530257e-12,1.2276940753052623e-10,5.227260793360386e-13
4FGL J0126.0-2221 ,fsrq ,-22.361,5.217175e-12,3.1707253e-10,-80.8067,183.5854,1.5945513e-12,2.5399935,0.11251697,0.6666667,0.004453624,1.5615234e-12,2.261861,1.4089525e-12,2.5871994,31560000.0,671.77124,21.5204,PowerLaw         ,4.739181975646104e-12,3.2587921041087065e-10,3.286930730572067e-12
4FGL J0126.5-1553 ,bcu  ,-15.8849,1.5713346e-12,1.0401309e-10,-76.10943,160.67921,2.9454572e-13,1.9995136,0.60122395,0.6666667,0.012014576,2.6015886e-13,1.3957176,2.047338e-13,2.521019,31560000.0,902.9657,21.6487,PowerLaw         ,8.726060149716291e-13,1.4099271243945067e-10,1.7924698448267512e-13
4FGL J0127.1+3310 ,bll  ,33.1757,1.3895847e-12,1.2367761e-10,-29.103487,131.47441,9.2490145e-15,1.9517925,0.026346065,0.6666667,0.00039117655,9.307198e-15,1.8413596,8.8869655e-15,1.9773173,31560000.0,3764.4583,21.78,PowerLaw         ,1.3077699246256563e-12,1.2451431112424633e-10,1.2686587246570774e-11
4FGL J0127.2-0819 ,bll  ,-8.3305,8.2407536e-12,7.2594397e-10,-69.38138,148.84595,5.4320486e-13,2.1026697,0.097806744,0.6666667,0.0022342813,5.3067094e-13,1.8788347,4.8232506e-13,2.1785197,31560000.0,1303.4071,21.8074,PowerLaw         ,6.896672393880971e-12,7.854132656675362e-10,3.089048100921499e-11
4FGL J0127.2+0324 ,bll  ,3.413,5.5389005e-12,4.914907e-10,-58.256546,140.12785,9.478935e-14,1.9070412,0.049953908,0.6666667,0.0007109686,9.355272e-14,1.7882524,8.780914e-14,1.9667717,31560000.0,2373.5337,21.8237,PowerLaw         ,5.066908653786876e-12,5.132534598288712e-10,4.847754447177395e-11
4FGL J0127.4-4813 ,bcu  ,-48.2245,2.7141258e-12,1.8842522e-10,-67.7681,286.9238,3.4906713e-13,2.509118,-0.027273968,0.6666667,0.00045210405,3.6734922e-13,2.4254491,3.6206964e-13,2.4810483,31560000.0,900.62256,21.8701,PowerLaw         ,2.84883004818454e-12,1.8295259092074685e-10,7.263661807349156e-12
4FGL J0127.9+4857 ,bll  ,48.9536,4.0810745e-12,2.484833e-10,-13.482618,129.07507,6.140196e-13,2.605769,-0.028484147,0.6666667,-0.00019532087,6.335944e-13,2.6071413,6.375793e-13,2.5858328,31560000.0,830.271,21.9777,PowerLaw         ,4.257276676171806e-12,2.4277680120423164e-10,7.841720346310831e-12
4FGL J0128.2+4400 ,bcu  ,44.0016,1.9906793e-12,1.3737149e-10,-18.37076,129.90256,3.601791e-13,2.399622,0.47595215,0.6666667,0.015605928,3.352585e-13,1.2189898,2.2320804e-13,2.4862483,31560000.0,965.0331,22.0732,PowerLaw         ,1.4478523439306851e-12,1.7716720710052123e-10,2.539275534340511e-13
4FGL J0128.3+5710 ,bcu  ,57.17,3.0329977e-12,2.3199893e-10,-5.3426013,127.939224,6.737806e-14,2.4250913,-0.04776688,0.6666667,-0.00014658319,7.262865e-14,2.4208386,7.347378e-14,2.388977,31560000.0,1857.7822,22.0835,PowerLaw         ,3.454927252459624e-12,2.172961186966593e-10,1.0931108560792033e-11
4FGL J0128.5+4440 ,fsrq ,44.6777,1.7650326e-12,1.5765733e-10,-17.694757,129.8481,4.1821805e-14,2.0139835,0.2930569,0.6666667,0.0052008447,3.9462713e-14,1.2682861,2.9257328e-14,2.131759,31332582.0,2341.0815,22.1438,PowerLaw         ,1.1903230573947605e-12,1.9295533082257948e-10,5.724731730369989e-12
