Source_Name,CLASS1,DEJ2000,Energy_Flux100,Flux1000,GLAT,GLON,LP_Flux_Density,LP_Index,LP_beta,PLEC_Exp_Index,PLEC_Expfactor,PLEC_Flux_Density,PLEC_Index,PL_Flux_Density,PL_Index,Peak_Interval,Pivot_Energy,RAJ2000,SpectrumType,Energy_Flux100_PLEC,PLEC_F1000,PLEC_F10000
4FGL J1907.9+0602 ,PSR  ,6.0351,3.1014102e-10,4.1119872e-08,-0.90093255,40.18229,2.0974155e-11,2.3199944,0.29770255,0.6666667,0.007978669,2.0506073e-11,1.4831043,1.5416415e-11,2.3658538,31560000.0,1596.8462,286.9845,PLSuperExpCutoff ,1.0428566301875602e-10,1.3821354392425035e-08,9.663631918088133e-11
4FGL J1908.9+2103 ,PSR  ,21.0604,4.1211604e-12,6.916439e-10,5.7645583,53.67031,1.804841e-13,2.0867357,0.44739756,0.6666667,0.008986947,1.7262232e-13,0.95713484,1.1496065e-13,2.269921,31560000.0,2223.4524,287.2387,PLSuperExpCutoff ,8.916376196522668e-13,1.4961558256164692e-10,1.911390313591593e-12
4FGL J1913.3+0905 ,PSR  ,9.0918,1.9011164e-11,3.449267e-09,-0.68572813,43.51693,6.188736e-13,2.51218,0.5324891,0.6666667,0.013892182,6.4004515e-13,0.63942325,3.965189e-13,2.445465,31560000.0,2561.1677,288.3458,PLSuperExpCutoff ,1.4114600095018135e-12,2.5603702291558934e-10,9.328465393956896e-13
4FGL J1913.3+1019 ,PSR  ,10.3289,1.8244158e-11,1.5673626e-09,-0.11526439,44.614685,5.636903e-14,2.2598393,0.07200188,0.6666667,0.0006163084,5.4828317e-14,2.0657039,5.1022154e-14,2.2339013,31560000.0,5096.9077,288.3496,PowerLaw         ,1.3328179459796526e-11,1.2941838561131707e-09,7.375937958990112e-11
4FGL J1919.1+2354 ,psr  ,23.9027,2.5153879e-12,5.937658e-10,4.973854,57.287704,2.8813483e-13,2.361145,0.9995975,0.6666667,0.024091253,2.691411e-13,0.00023614404,1.359512e-13,2.338431,31560000.0,1724.951,289.7812,LogParabola      ,9.106042774717448e-14,1.7759138855849467e-11,5.30090864514019e-15
4FGL J1921.1+1930 ,PSR  ,19.5117,3.604324e-12,6.6328665e-10,2.5086732,53.614956,9.123679e-14,2.3453047,0.5780042,0.6666667,0.0114577,9.08428e-14,0.55630004,5.2313842e-14,2.3431716,31560000.0,3060.9355,290.2928,PLSuperExpCutoff ,3.219993211235025e-13,5.924733632125975e-11,6.180851981610653e-13
4FGL J1921.4+0136 ,PSR  ,1.6066,1.1119703e-11,1.5837686e-09,-5.9291487,37.80112,5.5520725e-13,2.2459273,0.29645845,0.6666667,0.0071590645,5.472051e-13,1.40459,4.027279e-13,2.3177803,31560000.0,1870.7087,290.357,PLSuperExpCutoff ,3.750709524005515e-12,5.341030948572261e-10,6.0206800972098566e-12
4FGL J1925.2+1729 ,PSR  ,17.4847,9.492735e-12,1.7664596e-09,0.6923656,52.287094,5.2024455e-13,2.6371365,0.64295936,0.6666667,0.020628337,5.4304163e-13,0.28627878,2.7090702e-13,2.4768732,31560000.0,2051.0977,291.3217,PLSuperExpCutoff ,3.397916734415446e-13,6.321509199366102e-11,3.819995101099364e-14
4FGL J1932.2+2221 ,PSR  ,22.3616,6.450804e-12,4.679688e-10,1.584406,57.354935,1.6838501e-13,2.4105954,0.43025613,0.6666667,0.010346977,1.6668439e-13,1.0954332,1.0125585e-13,2.4414687,31560000.0,2175.23,293.065,PowerLaw         ,7.219548322002322e-13,1.1406596848858259e-10,6.681815294582428e-13
4FGL J1932.3+1916 ,PSR  ,19.2685,6.252627e-11,8.284193e-09,0.08353669,54.64999,4.1862117e-12,2.5842886,0.4271163,0.6666667,0.01328696,4.203983e-12,1.2182529,2.8566296e-12,2.4797125,31560000.0,1629.514,293.0761,PLSuperExpCutoff ,9.93258607776703e-12,1.3156383929612932e-09,1.985299199701714e-12
